노출키워드,연관키워드,검색(PC),검색(폰),평균클릭(PC),평균클릭(폰),평클릭률(PC),평균클릭률(폰),노출광고수,경쟁도,총검색,총클릭
아크릴,투명아크릴판,880,2790,11.9,94.7,1.44,3.69,15,높음,3670.0,106.6
아크릴,가림막,5570,19500,28.3,214.8,0.55,1.19,15,높음,25070.0,243.1
아크릴,이동식칸막이,1380,4830,20.0,157.5,1.51,3.5,15,높음,6210.0,177.5
아크릴,사무실칸막이,1480,1840,20.2,64.5,1.44,3.75,15,높음,3320.0,84.7
아크릴,칸막이,4510,12400,29.4,162.8,0.7,1.42,15,높음,16910.0,192.2
아크릴,네온사인주문제작,1160,5220,39.5,339.6,3.63,6.92,15,높음,6380.0,379.1
아크릴,아크릴판,7160,20500,92.0,519.5,1.36,2.71,15,높음,27660.0,611.5
아크릴,가벽파티션,1000,4680,13.2,135.5,1.39,3.11,15,높음,5680.0,148.7
아크릴,가림막파티션,1910,9010,13.6,169.5,0.76,2.03,15,높음,10920.0,183.1
아크릴,책상가림막,1630,3900,13.7,84.0,0.9,2.32,15,높음,5530.0,97.7
아크릴,아크릴거울,2050,11600,11.8,121.0,0.61,1.11,15,높음,13650.0,132.8
아크릴,화장대정리함,660,4700,2.4,94.0,0.38,2.13,15,높음,5360.0,96.4
아크릴,장식장,4590,24700,52.7,591.1,1.22,2.57,15,높음,29290.0,643.8
아크릴,화장품정리함,2030,13200,8.5,189.7,0.45,1.52,15,높음,15230.0,198.2
아크릴,화장품정리대,1180,9860,10.8,238.6,0.95,2.57,15,높음,11040.0,249.4
아크릴,아크릴케이스,3160,10100,50.3,304.4,1.69,3.23,15,높음,13260.0,354.7
아크릴,아크릴선반,830,4990,7.8,78.6,1.0,1.86,15,높음,5820.0,86.4
아크릴,토퍼제작,1260,7270,18.5,205.0,1.54,2.98,15,높음,8530.0,223.5
아크릴,간판업체,980,2960,30.2,159.8,3.26,5.74,15,높음,3940.0,190.0
아크릴,네온사인,4040,12800,48.3,318.1,1.28,2.66,15,높음,16840.0,366.4
아크릴,생일토퍼,1700,9230,17.3,282.8,1.08,3.21,15,높음,10930.0,300.1
아크릴,레고장식장,970,5050,15.7,224.8,1.69,4.73,15,높음,6020.0,240.5
아크릴,캡슐보관함,930,6870,3.0,109.5,0.34,1.7,15,높음,7800.0,112.5
아크릴,네임택,3300,12600,10.9,143.5,0.36,1.21,15,높음,15900.0,154.4
아크릴,아크릴박스,2190,5700,42.6,177.0,2.03,3.31,15,높음,7890.0,219.6
아크릴,햄스터케이지,410,3270,4.7,94.9,1.23,3.08,15,높음,3680.0,99.6
아크릴,A2액자,990,4100,12.7,99.8,1.35,2.6,15,높음,5090.0,112.5
아크릴,게시판,5340,6650,57.2,134.3,1.14,2.14,15,높음,11990.0,191.5
아크릴,주차금지표지판,3360,10600,44.3,330.3,1.41,3.32,15,높음,13960.0,374.6
아크릴,PG건담,600,2910,4.8,84.3,0.85,3.06,15,높음,3510.0,89.1
아크릴,문패,1580,4140,15.7,85.3,1.06,2.19,15,높음,5720.0,101.0
아크릴,명패,4810,7880,57.7,216.5,1.27,2.92,15,높음,12690.0,274.2
아크릴,휴대폰거치대,7650,41100,11.3,523.8,0.16,1.37,15,높음,48750.0,535.1
아크릴,환갑축하문구,910,6100,6.1,196.4,0.72,3.46,9,중간,7010.0,202.5
돌출,돌출,560,700,0.0,0.0,0.0,0.0,3,높음,1260.0,0.0
LED간판,LED간판,1670,6350,25.3,221.0,1.61,3.71,15,높음,8020.0,246.3
LED간판,네온사인주문제작,1160,5220,39.5,339.6,3.63,6.92,15,높음,6380.0,379.1
LED간판,LED전광판,2090,4410,39.6,155.8,2.04,3.75,15,높음,6500.0,195.4
LED간판,네온사인만들기,630,3320,3.8,65.3,0.63,2.08,15,높음,3950.0,69.1
LED간판,간판제작,1520,2350,41.5,103.1,2.89,4.62,15,높음,3870.0,144.6
LED간판,전광판,1980,4670,17.9,63.0,0.96,1.43,15,높음,6650.0,80.9
LED간판,간판업체,980,2960,30.2,159.8,3.26,5.74,15,높음,3940.0,190.0
LED간판,아크릴간판,2330,5010,51.8,109.3,2.35,2.32,15,높음,7340.0,161.1
LED간판,간판만들기,560,2200,17.5,110.4,3.36,5.42,15,높음,2760.0,127.9
LED간판,네온간판,580,2260,12.1,87.3,2.22,4.12,15,높음,2840.0,99.4
LED간판,네온조명,600,3070,6.4,104.7,1.15,3.64,15,높음,3670.0,111.1
LED간판,시트지제작,1640,3060,44.7,120.8,2.88,4.18,15,높음,4700.0,165.5
LED간판,스카시간판,1020,1870,15.0,49.0,1.54,2.81,15,높음,2890.0,64.0
LED간판,LED,7310,20300,10.5,74.3,0.16,0.39,15,높음,27610.0,84.8
LED간판,돌출간판,1410,3460,14.3,64.3,1.07,1.97,15,높음,4870.0,78.6
LED간판,네온,1600,4530,8.3,48.3,0.56,1.15,15,높음,6130.0,56.6
LED간판,입간판,7570,18800,98.8,340.0,1.39,1.93,15,높음,26370.0,438.8
LED간판,현판,4440,5630,67.9,77.3,1.62,1.45,15,높음,10070.0,145.2
LED간판,소량인쇄,1420,1440,61.5,78.6,4.57,5.84,15,높음,2860.0,140.1
LED간판,현판제작,1430,1290,52.3,54.2,3.86,4.42,15,높음,2720.0,106.5
LED간판,LED등,7730,29600,60.9,543.5,0.84,1.97,15,높음,37330.0,604.4
LED간판,로고만들기,3450,3010,38.1,60.8,1.18,2.12,15,높음,6460.0,98.9
LED간판,라벨스티커,4820,15200,60.3,227.5,1.33,1.59,15,높음,20020.0,287.8
LED간판,미니간판,780,2950,13.8,86.3,1.87,3.12,15,높음,3730.0,100.1
LED간판,아크릴제작,2680,3980,103.4,199.4,4.08,5.32,15,높음,6660.0,302.8
LED간판,명판,6420,5010,27.9,49.3,0.46,1.05,15,높음,11430.0,77.2
LED간판,어닝,10300,47700,138.1,1100.2,1.44,2.48,15,높음,58000.0,1238.3
